title,title_en,start_year,start_month,end_year,end_month,event_type,description,locations,participants,source
秦末农民起义,Late Qin Peasant Rebellion,209,7,206,12,"war,peasant_uprising","陈胜、吴广领导的反秦农民起义。因征役不满，在大泽乡起义，震撼了秦朝统治的基础，加速了秦朝的灭亡。","大泽乡, 陈州, 魏郡","陈胜, 吴广",史记
秦汉战争,Qin-Han War,206,1,202,12,"war,civil_war","项羽与刘邦争夺天下的战争。经过四年的激战，最终刘邦击败项羽，建立了汉朝。","垓下, 鸿沟, 彭城","刘邦, 项羽",史记
汉-匈奴战争,Han-Xiongnu Wars,140,1,89,12,"war,military_conflict","西汉对匈奴进行的大规模军事行动。汉武帝时期派遣卫青、霍去病等将领打击匈奴，开拓了丝绸之路。","河西走廊, 漠北, 雁门关","汉武帝, 卫青, 霍去病",史记
贞观之治,Zhenguan Era,626,1,649,12,"political_reform,cultural_flourishing","唐太宗推行的一个以儒家思想为指导的治国政策。强调民本和谦虚，使唐朝的政治、经济、文化达到了新的高度。","长安, 全国各地",唐太宗,《资治通鉴》
安史之乱,An Lushan Rebellion,755,12,763,2,"war,civil_war","安禄山和史思明在唐玄宗统治时期发动的大规模叛乱。虽然最终被平定，但使唐朝元气大伤，标志着唐朝由盛转衰。","洛阳, 长安, 范阳","安禄山, 唐玄宗, 郭子仪",《资治通鉴》
黄巢起义,Yellow Turban Rebellion,875,1,884,6,"war,peasant_uprising","黄巢领导的大规模农民起义。一度攻占长安，建立大齐政权，虽最终失败，但动摇了唐末政权的基础。","长安, 洛阳, 中原","黄巢, 唐僖宗",《资治通鉴》
五代十国,Five Dynasties and Ten Kingdoms,907,1,960,1,"political_fragmentation,war","唐朝灭亡后，中国陷入分裂状态。五个小朝代在中原轮流统治，十个政权在南方并立，历时约 53 年。","中原, 江南, 北方","后梁, 后唐, 后晋, 后汉, 后周",《资治通鉴》
玄武门之变,Xuanwu Gate Incident,626,6,626,7,"political_event,coup_d'etat","唐太宗李世民在长安玄武门发动的政变。通过这场政变，李世民打败了兄长太子李建成和弟弟齐王李元吉，夺得了王位。","长安, 玄武门","李世民, 李建成, 李元吉",《资治通鉴》
靖康之变,Jingkang Incident,1125,1,1127,3,"war,military_defeat","金兵南下，攻占宋朝都城开封。宋徽宗和宋钦宗都被金人掠去，是中国历史上的一场重大耻辱。","开封, 金国","宋徽宗, 宋钦宗, 金皇帝",宋史
元末农民起义,Late Yuan Peasant Rebellions,1351,5,1368,1,"war,peasant_uprising","元朝末期的大规模农民起义，其中最重要的是朱元璋所参加的起义。最终导致了元朝的灭亡和明朝的建立。","长江流域, 江南, 中原","朱元璋, 韩林儿",元史
永乐盛世,Yongle Flourishing Era,1402,1,1424,12,"cultural_flourishing,political_stability","明成祖朱棣统治时期。这一时期国力强盛，经济繁荣，郑和下西洋开拓了海外贸易，使明朝成为当时最强大的国家。","北京, 南京, 海外","朱棣, 郑和",明史
靖难之役,Jingnan Campaign,1399,1,1402,7,"war,civil_war","朱元璋之子朱棣为夺取侄子朱允炆的皇位而发动的军事行动。经过三年战争，朱棣最终成功夺得皇位。","北京, 南京, 各地","朱棣, 朱允炆",明史
女真女真,Female Zhenshi,1616,1,1644,3,"political_event,ethnic_migration","满族（女真）的努尔哈赤建立的后金政权，最终由其子皇太极改国号为清，并最终入主中原。","关东, 长城沿线","努尔哈赤, 皇太极",清史稿
三藩之乱,Revolt of Three Feudatories,1673,1,1681,12,"war,civil_war","清初平定的三位藩王（吴三桂、尚可喜、耿精忠）发动的大规模反抗。康熙通过这一战争加强了中央集权。","云南, 广东, 福建","康熙, 吴三桂",清史稿
鸦片战争,First Opium War,1840,6,1842,8,"war,foreign_aggression","英国为了打开中国市场而对华发动的战争。中国战败后被迫签订《南京条约》，开放了五个通商口岸。","广东, 南方沿海","林则徐, 道光帝, 英军",晚清外交史
太平天国,Taiping Heavenly Kingdom,1851,1,1864,6,"war,rebellion,political_state","洪秀全领导的大规模农民起义，建立了地跨多省的政权。虽然最终被清军镇压，但震撼了整个中国。","南京, 长江流域, 江南","洪秀全, 曾国藩, 李鸿章",晚清人物传记
戊戌变法,Hundred Days Reform,1898,6,1898,9,"political_reform,cultural_change","光绪帝和康有为等维新派进行的政治改革运动。试图学习西方制度，但最终被慈禧太后镇压。","北京, 全国","光绪帝, 康有为, 梁启超, 慈禧",民国时期
辛亥革命,1911 Revolution,1911,10,1912,2,"political_revolution,military_action","推翻满清统治，建立共和制政体的伟大革命。孙中山领导的革命者发动起义，推动了中国从帝制向共和的转变。","武汉, 全国各地","孙中山, 黄兴, 宣统帝",民国人物传记
第二次世界大战,Second World War,1937,7,1945,8,"war,international_conflict,military","中国的抗日战争。从七七卢沟桥事变开始，中国进行了长期的抗日战争，最终战胜了日本侵略者。","全国各地, 东亚","蒋介石, 毛泽东, 日本军队",当代中国政治史
三年困难时期,Great Chinese Famine,1959,1,1962,12,"natural_disaster,economic_crisis","中国的一场严重饥荒。由大跃进政策不当导致，造成了大量人口死亡，是中国现代历史上的一场重大灾难。","全国各地",毛泽东,中国当代史
文化大革命,Cultural Revolution,1966,5,1976,10,"political_movement,social_upheaval","毛泽东发动的一场全社会性的政治运动。持续十年，造成了严重的社会动荡和文化破坏，最终导致了多方面的倒退。","全国各地, 城市和农村","毛泽东, 江青, 林彪",中国当代史
