canonical_name,alt_names,description,latitude,longitude,source
长安,"京城, 镐京, 汉长安",秦汉时期的都城，今陕西西安。政治、经济、文化中心，丝绸之路的起点，是中国古代最重要的城市之一。,34.34,108.95,CHGIS
洛阳,"豫州, 洛邑, 东京",中原地区的重要城市，曾是多个朝代的都城。地处黄河流域，是商业和文化的中心，也是丝绸之路的重要节点。,34.67,112.45,CHGIS
南京,"建邺, 建康, 应天",长江下游的重要城市，曾是多个朝代的都城。地理位置优越，是南北方的分界线，历来是兵家必争之地。,32.06,118.80,CHGIS
北京,"燕京, 大都, 北平",华北平原的中心城市，明清时期的都城。地处北方交通枢纽，是中国的政治和文化中心。,39.90,116.41,CHGIS
成都,"蜀城, 益州",四川盆地的中心城市，古代重要的经济文化中心。由于地理位置的保护，在乱世中成为了避难所。,30.57,104.07,CHGIS
杭州,"临安, 钱塘",浙江地区的重要城市，南宋的都城。地处杭州湾，水运发达，是江南地区的政治、经济和文化中心。,30.27,120.15,CHGIS
开封,"汴京, 汴梁",河南中部的重要城市，北宋的都城。地处黄河流域，水陆交通便利，是中国古代最繁华的城市之一。,34.80,114.30,CHGIS
广州,"番禺, 南海",广东省的重要城市，南方最主要的港口城市。汉代起就是中外贸易的重要枢纽，对外贸易活跃。,23.13,113.26,CHGIS
福州,"闽州, 闽中",福建的重要城市，东南沿海地区的政治和经济中心。与海外贸易联系紧密，海上丝绸之路的主要起点之一。,26.08,119.30,CHGIS
大泽乡,"大泽, 蕲县",秦末陈胜、吴广起义的地点，位于今安徽阜阳地区。这次起义标志着秦朝统治开始动摇，是中国历史上第一次大规模农民起义。,33.38,115.80,史记
垓下,"垓下古战场",楚汉战争中项羽自刎的地点，位于今安徽宿州地区。这场战役标志着项羽失去了争取天下的机会，刘邦最终建立了汉朝。,32.85,116.58,汉书
彭城,"徐州",楚汉战争中的重要战役地点，位于今江苏徐州。这次战役是项羽最为辉煌的胜利，击败了刘邦。,34.28,117.18,汉书
鸿沟,"鸿沟古迹",楚汉战争中的分界线，位于今河南郑州地区。历史上有著名的'鸿沟为界'的说法，分别为楚汉两阵营的领地。,34.73,113.75,史记
大漠,"匈奴草原, 西伯利亚南部",匈奴人的活动范围，在汉代为主要的对外军事作战地点。汉朝多次派兵征伐匈奴，开拓了丝绸之路。,45.00,105.00,汉书
河西走廊,"河西, 凉州",中国西部的重要商业走廊，连接中原与西域。汉朝对匈奴作战的重要地点，也是丝绸之路的重要段落。,39.00,100.00,汉书
雁门关,"雁门, 雁关",长城上的重要关隘，位于今山西地区。是中原与匈奴的分界点，历来是重要的军事要塞。,39.12,112.42,汉书
范阳,"幽州, 蓟城",安史之乱中安禄山的根据地，位于今北京及河北地区。当时是北方地区的经济和军事中心。,40.05,116.40,《资治通鉴》
漠北,"瀚海, 大漠北",匈奴的主要活动范围，位于蒙古高原。汉朝多次派兵远征此地，最著名的是卫青和霍去病的胜利。,48.00,103.00,汉书
江南,"江南地区, 长江以南",中国南方的统称，包括今天的浙江、江苏等地。南北朝时期的重要地区，也是南宋的主要活动范围。,32.00,120.00,历史文献
中原,"中原地区, 黄河流域",中国古代最重要的文化和政治中心，包括今天的河南、陕西等地。几乎所有的大一统王朝都建立在此。,34.73,113.75,《资治通鉴》
兰州,"金城, 凉州",甘肃的重要城市，丝绸之路的重要节点。汉代起就是对西域贸易的重要枢纽。,36.06,103.83,CHGIS
